"","tones","DEPT","Sentence","Percentage"
"1","H+L* L%","Durazno","NFD3",0.2
"2","H+L* L%","Durazno","NFD1",0
"3","H+L* L%","Durazno","NFD2",0
"4","H+L* L%","Durazno","NFD4",0
"5","H+L* L%","Durazno","NFD5",0
"6","H+L* L%","Durazno","NFD6",0
"7","H+L* L%","Montevideo","NFD3",0.2
"8","H+L* L%","Montevideo","NFD1",0
"9","H+L* L%","Montevideo","NFD2",0
"10","H+L* L%","Montevideo","NFD4",0
"11","H+L* L%","Montevideo","NFD5",0
"12","H+L* L%","Montevideo","NFD6",0
"13","L* L%","Durazno","NFD3",0.25
"14","L* L%","Durazno","NFD1",0.45
"15","L* L%","Durazno","NFD2",0.2
"16","L* L%","Durazno","NFD4",0.8
"17","L* L%","Durazno","NFD5",0
"18","L* L%","Durazno","NFD6",0
"19","L* L%","Montevideo","NFD3",0.3
"20","L* L%","Montevideo","NFD1",0.233333333333333
"21","L* L%","Montevideo","NFD2",0
"22","L* L%","Montevideo","NFD4",0.833333333333333
"23","L* L%","Montevideo","NFD5",0
"24","L* L%","Montevideo","NFD6",0
"25","L+H* !H%","Durazno","NFD3",0
"26","L+H* !H%","Durazno","NFD1",0
"27","L+H* !H%","Durazno","NFD2",0
"28","L+H* !H%","Durazno","NFD4",0
"29","L+H* !H%","Durazno","NFD5",0
"30","L+H* !H%","Durazno","NFD6",0
"31","L+H* !H%","Montevideo","NFD3",0
"32","L+H* !H%","Montevideo","NFD1",0
"33","L+H* !H%","Montevideo","NFD2",0
"34","L+H* !H%","Montevideo","NFD4",0
"35","L+H* !H%","Montevideo","NFD5",0
"36","L+H* !H%","Montevideo","NFD6",0
"37","L+H* L%","Durazno","NFD3",0.2
"38","L+H* L%","Durazno","NFD1",0.5
"39","L+H* L%","Durazno","NFD2",0.35
"40","L+H* L%","Durazno","NFD4",0.15
"41","L+H* L%","Durazno","NFD5",0.6
"42","L+H* L%","Durazno","NFD6",0.6
"43","L+H* L%","Montevideo","NFD3",0.266666666666667
"44","L+H* L%","Montevideo","NFD1",0.2
"45","L+H* L%","Montevideo","NFD2",0.266666666666667
"46","L+H* L%","Montevideo","NFD4",0
"47","L+H* L%","Montevideo","NFD5",0.333333333333333
"48","L+H* L%","Montevideo","NFD6",0.333333333333333
"49","L+H*+L L%","Montevideo","NFD3",0.133333333333333
"50","L+H*+L L%","Montevideo","NFD1",0.333333333333333
"51","L+H*+L L%","Montevideo","NFD2",0
"52","L+H*+L L%","Montevideo","NFD4",0
"53","L+H*+L L%","Montevideo","NFD5",0
"54","L+H*+L L%","Montevideo","NFD6",0
"55","L+¡H* L%","Durazno","NFD3",0
"56","L+¡H* L%","Durazno","NFD1",0
"57","L+¡H* L%","Durazno","NFD2",0.15
"58","L+¡H* L%","Durazno","NFD4",0
"59","L+¡H* L%","Durazno","NFD5",0.25
"60","L+¡H* L%","Durazno","NFD6",0.25
"61","L+¡H* L%","Montevideo","NFD3",0
"62","L+¡H* L%","Montevideo","NFD1",0
"63","L+¡H* L%","Montevideo","NFD2",0.366666666666667
"64","L+¡H* L%","Montevideo","NFD4",0
"65","L+¡H* L%","Montevideo","NFD5",0.333333333333333
"66","L+¡H* L%","Montevideo","NFD6",0.333333333333333
"67","L+¡H*+L L%","Montevideo","NFD3",0
"68","L+¡H*+L L%","Montevideo","NFD1",0
"69","L+¡H*+L L%","Montevideo","NFD2",0.133333333333333
"70","L+¡H*+L L%","Montevideo","NFD4",0
"71","L+¡H*+L L%","Montevideo","NFD5",0
"72","L+¡H*+L L%","Montevideo","NFD6",0
